id,ders_tderslerid,ogrenci_tkullanicilarid,vize,final,harf,DersID,bolum_tbolumlerid,adi_x,teori,uygulama,akts,KullaniciID,adi_y,soyadi,eposta,ceptel,dogumtarihi,dogumyeri_tilcelerid,cinsiyet,tckimlikno,kangrubu_tkangruplariid
1,50,8875,38.0,7.0,,50,107,Türk Dili,4,0,4,8875,Merve,BİÇİMVEREN,merve.biçimveren 66@gmail.com,5597320775,1992-04-28,50,False,17083078425,0
2,102,8875,79.0,38.0,,102,107,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,8875,Merve,BİÇİMVEREN,merve.biçimveren 66@gmail.com,5597320775,1992-04-28,50,False,17083078425,0
3,154,8875,88.0,17.0,,154,107,İngilizce,4,0,4,8875,Merve,BİÇİMVEREN,merve.biçimveren 66@gmail.com,5597320775,1992-04-28,50,False,17083078425,0
4,59,7857,25.0,83.0,,59,185,Türk Dili,4,0,4,7857,Yunus Emre,DEMİREL,yunus emre.demirel72@gmail.com,5374523849,1985-07-18,34,True,81651933006,0
5,111,7857,58.0,16.0,,111,185,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,7857,Yunus Emre,DEMİREL,yunus emre.demirel72@gmail.com,5374523849,1985-07-18,34,True,81651933006,0
6,163,7857,8.0,51.0,,163,185,İngilizce,4,0,4,7857,Yunus Emre,DEMİREL,yunus emre.demirel72@gmail.com,5374523849,1985-07-18,34,True,81651933006,0
7,61,2368,15.0,2.0,,61,187,Türk Dili,4,0,4,2368,Mustafa Emre,DEMİRÇİ,mustafa emre.demirçi49@gmail.com,5538921105,1998-12-25,34,True,39647195979,0
8,113,2368,54.0,81.0,,113,187,Atatürk İlkeleri ve İnkılâp Tarihi,4,0,4,2368,Mustafa Emre,DEMİRÇİ,mustafa emre.demirçi49@gmail.com,5538921105,1998-12-25,34,True,39647195979,0
9,165,2368,8.0,89.0,,165,187,İngilizce,4,0,4,2368,Mustafa Emre,DEMİRÇİ,mustafa emre.demirçi49@gmail.com,5538921105,1998-12-25,34,True,39647195979,0
10,29,7031,14.0,12.0,,29,15,Türk Dili,4,0,4,7031,Uğur,YILDIRIM,uğur.yıldırım98@gmail.com,5481390480,2003-01-27,44,True,74752691738,0
