id,adi,soyadi,eposta,ceptel,dogumtarihi,dogumyeri_tilcelerid,cinsiyet,tckimlikno,kangrubu_tkangruplariid
268,Cihad,YALÇIN,cihad.yalçın28@gmail.com,5514949201,1984-07-18,58,t,93046189981,7
2182,Emrah,SEMİZ,emrah.semiz73@gmail.com,5388935463,2001-09-19,23,t,93602068747,7
2186,Güneş,ÖZTÜRK,güneş.öztürk33@gmail.com,5377815918,1996-09-13,34,f,39350255465,0
2187,Yasemin,KAVAL,yasemin.kaval11@gmail.com,5461777398,2000-04-17,34,f,41043029301,0
2188,Canan,ÖZTÜRK,canan.öztürk19@gmail.com,5583731693,1991-05-28,26,f,20460933882,0
2189,Alim,ERİŞKEN,alim.erişken58@gmail.com,5488894319,1988-10-05,9,t,82087721776,1
2190,Mahbube Seda,KETHÜDA,mahbube seda.kethüda66@gmail.com,5605479723,2002-09-06,25,f,24477804608,1
2191,Murat,SARI,murat.sarı65@gmail.com,5466748865,1992-11-21,34,t,70215736251,7
2193,Ayşe,ALTAN,ayşe.altan73@gmail.com,5552685123,1998-03-02,34,f,87257854715,1
2194,Figen,BOZDAĞ,figen.bozdağ59@gmail.com,5573206804,1986-07-22,59,f,30463262191,7
2195,Kübra,ÖMEROĞLU,kübra.ömeroğlu94@gmail.com,5336339155,1992-12-09,34,f,99573288724,1
2196,Cahide Merve,WAEDOLAH,cahide merve.waedolah48@gmail.com,5328625390,1996-10-12,34,f,33789259030,7
2197,Arzu,YİĞİT,arzu.yiğit55@gmail.com,5453308817,1996-01-13,34,f,94466765454,8
2198,Halime Dicle,BORAN,halime dicle.boran41@gmail.com,5472122770,1989-01-11,6,f,22929900400,0
2199,Ünal Halit,AL DANNAOUI,ünal halit.al dannaouı67@gmail.com,5413278676,1983-12-20,37,t,71382795998,1
2200,Özlem,KARTAL,özlem.kartal95@gmail.com,5525148511,1983-04-05,10,f,27529283765,7
2201,Seda,ENİS,seda.enis99@gmail.com,5595787919,1986-05-13,34,f,49415653881,0
2202,Şükrü,AKYILDIRIM,şükrü.akyıldırım34@gmail.com,5577392411,1998-01-23,50,t,86551594853,0
2203,İbrahim Haluk,MAYIRAN,ibrahim haluk.mayıran21@gmail.com,5411903964,1990-04-13,34,t,50933429179,0
2204,Algun,SARI,algun.sarı15@gmail.com,5348383632,1997-02-06,34,t,26812711210,0
2205,Hüseyin,AKDAŞ,hüseyin.akdaş76@gmail.com,5521380439,1982-10-18,34,t,88475091258,0
2206,Seniha Didem,PİRANİQİ,seniha didem.piraniqi70@gmail.com,5481729105,1988-08-12,34,f,59627677141,0
2207,Esat Timuçin,YAZAR,esat timuçin.yazar65@gmail.com,5537930791,1985-10-27,40,t,63643479220,3
2208,Gökhan,AY,gökhan.ay94@gmail.com,5525585652,1991-07-01,61,t,27507041167,1
2209,Aydın,TUNA,aydın.tuna55@gmail.com,5517003240,1991-05-03,34,t,40100132084,7
2210,Ela,MIERKAMILIJIANG,ela.mıerkamılıjıang92@gmail.com,5338678844,1988-08-24,34,f,51512786132,7
2211,Emin,MENEKŞE,emin.menekşe11@gmail.com,5609096316,1990-01-08,26,t,77062634570,0
2212,Gizem,DEMİR,gizem.demir73@gmail.com,5304246140,2003-04-22,6,f,16082658669,4
2213,Ömer,YILDIRIM,ömer.yıldırım91@gmail.com,5436258334,1980-09-26,78,t,32849718512,0
2214,Ekrem,BASKINDAĞLI DURAK,ekrem.baskındağlı durak32@gmail.com,5486782159,1996-06-09,64,t,36543848015,7
2215,Yusuf,ÖZBAŞ,yusuf.özbaş40@gmail.com,5436137978,1996-08-14,76,t,97616889671,0
